Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
0010, Yes, 11-1011, 51.60, 58.00, 52.71, 66.32, 74.31, 53.13, 48.35, 76.94, 63.79, 49.98, 70.68, 32.44, 44.82 
0020, Yes, 11-1021, 47.95, 55.16, 50.79, 64.55, 73.17, 53.85, 47.94, 75.61, 63.89, 49.45, 69.67, 32.09, 44.28 
0030, Yes, 11-1031, 57.09, 59.78, 60.92, 74.00, 84.29, 43.05, 50.86, 85.32, 50.00, 48.19, 84.29, 32.30, 51.05 
0040, No , 11-2011, 58.19, 61.28, 59.12, 73.03, 85.37, 61.19, 55.10, 87.21, 70.98, 56.12, 81.45, 41.79, 51.42 
0050, Yes, 11-2020, 56.40, 60.10, 58.05, 71.62, 83.57, 60.25, 54.06, 85.54, 70.02, 55.19, 79.66, 40.50, 50.35 
0060, Yes, 11-2031, 62.87, 65.23, 52.84, 73.52, 86.48, 49.87, 53.57, 87.28, 60.58, 52.61, 84.33, 36.67, 52.06 
0100, Yes, 11-3011, 49.82, 56.59, 51.90, 66.14, 74.65, 54.60, 48.88, 76.92, 64.19, 50.12, 71.36, 33.29, 45.35 
0110, Yes, 11-3021, 48.41, 55.49, 51.28, 64.92, 73.58, 54.16, 48.24, 76.04, 64.15, 49.73, 70.07, 32.64, 44.62 
0120, Yes, 11-3031, 57.34, 62.72, 56.66, 71.52, 82.09, 53.56, 51.98, 89.13, 68.31, 56.88, 73.54, 35.58, 46.57 
0130, Yes, 11-3040, 59.31, 65.44, 53.49, 68.86, 74.78, 48.79, 47.52, 77.70, 58.92, 48.36, 71.74, 37.86, 46.31 
0140, Yes, 11-3051, 47.39, 54.82, 50.65, 64.11, 72.65, 53.73, 47.66, 75.03, 63.70, 49.16, 69.29, 31.54, 44.00 
0150, No , 11-3061, 48.33, 54.65, 55.41, 68.65, 77.10, 55.26, 49.95, 79.80, 64.82, 51.20, 71.66, 35.30, 45.74 
0160, Yes, 11-3071, 47.48, 54.78, 50.39, 63.97, 72.52, 53.25, 47.50, 74.92, 63.23, 48.97, 69.12, 31.21, 43.87 
0200, Yes, 11-9011, 35.46, 35.09, 47.12, 44.46, 39.42, 19.83, 29.26, 38.51, 20.93, 26.02, 45.14, 13.61, 31.04 
0210, Yes, 11-9012, 23.62, 21.93, 39.85, 37.08, 34.48, 19.45, 27.56, 33.55, 20.38, 24.63, 40.68, 12.64, 29.26 
0220, Yes, 11-9021, 47.35, 54.79, 50.63, 64.07, 72.57, 53.74, 47.63, 74.93, 63.68, 49.13, 69.26, 31.57, 44.00 
0230, Yes, 11-9030, 78.30, 80.62, 62.24, 82.56, 85.53, 51.25, 53.47, 89.39, 66.24, 55.79, 81.70, 35.83, 50.45 
0300, No , 11-9041, 57.95, 62.44, 56.77, 72.24, 79.67, 61.51, 53.71, 81.22, 68.70, 53.84, 76.83, 42.13, 50.48 
0310, Yes, 11-9051, 47.26, 54.76, 50.64, 64.00, 80.38, 38.23, 47.80, 81.31, 40.13, 43.59, 72.51, 23.51, 43.41 
0320, Yes, 11-9061, 60.47, 58.33, 49.14, 74.00, 55.97, 18.09, 33.82, 63.41, 24.05, 32.82, 45.76, 10.81, 30.07 
0330, Yes, 11-9071, 47.26, 54.76, 50.64, 64.00, 77.38, 35.21, 45.83, 76.49, 45.02, 43.61, 78.41, 25.54, 46.41 
0340, Yes, 11-9081, 48.22, 55.03, 50.09, 63.72, 78.49, 38.43, 47.10, 79.86, 42.00, 43.76, 71.63, 24.07, 43.24 
0350, Yes, 11-9111, 55.66, 62.44, 61.31, 69.39, 76.50, 46.48, 47.90, 81.19, 60.68, 50.28, 73.45, 32.85, 46.08 
0360, Yes, 11-9121, 52.45, 58.85, 52.78, 67.31, 75.33, 54.14, 49.49, 77.72, 64.08, 50.59, 72.03, 33.18, 45.97 
0400, No , 11-9131, 39.84, 45.23, 52.85, 55.00, 60.83, 76.49, 48.68, 71.50, 88.18, 59.61, 49.00, 63.65, 43.58 
0410, Yes, 11-9141, 42.44, 47.84, 39.33, 54.54, 67.88, 37.66, 42.67, 73.53, 50.19, 44.44, 61.04, 22.93, 39.09 
0420, No , 11-9151, 50.60, 56.58, 51.08, 65.43, 77.76, 41.01, 47.51, 78.49, 50.79, 46.34, 76.66, 28.23, 46.64 
0430, Yes, 11-9199, 48.38, 55.31, 50.67, 64.33, 73.56, 51.37, 47.61, 75.94, 61.34, 48.76, 69.93, 31.06, 44.17 
0500, Yes, 13-1011, 49.26, 54.20, 51.73, 61.99, 74.37, 40.87, 45.70, 74.64, 49.78, 44.60, 73.84, 26.00, 44.52 
0510, No , 13-1021, 47.50, 50.66, 42.15, 55.40, 61.15, 33.44, 39.62, 64.33, 41.96, 39.66, 54.34, 18.28, 35.56 
0520, Yes, 13-1022, 46.75, 51.18, 47.98, 55.85, 62.60, 28.12, 38.75, 66.41, 38.00, 38.70, 58.67, 16.50, 36.44 
0530, Yes, 13-1023, 53.45, 56.24, 42.45, 62.16, 70.93, 37.15, 43.61, 74.54, 48.30, 44.12, 66.41, 23.40, 41.05 
0540, Yes, 13-1030, 54.12, 37.11, 46.51, 57.30, 69.54, 27.30, 40.73, 83.00, 45.06, 45.81, 62.36, 17.79, 37.85 
0560, Yes, 13-1041, 45.40, 48.13, 48.95, 60.77, 71.12, 42.77, 45.00, 72.52, 50.04, 44.21, 69.27, 27.61, 43.20 
0600, Yes, 13-1051, 51.29, 56.84, 49.61, 66.86, 74.64, 38.96, 45.60, 77.02, 52.93, 46.97, 72.16, 25.15, 43.67 
